CHARACTER INFO:
	Name:  Daniel Carver
	Biography:  
		Daniel Carver was born to Harry and Judith Carver in Clifton, New Jersey.
		Daniel grew up with one sibling.
		As an adult, Daniel was a Marshal in Levittown, Pennsylvania.
		Unable to emotionally deal with everything happening around him, Daniel just snapped one day and attacked an ADVENT troop.
		    That day, Daniel's old life ended and a new one began.
		    A new resistance cell formed around Daniel and was eventually absorbed into the larger fight, eventually recruiting Daniel into XCOM itself.
	Nationality:  India
	Gender:  Male


PROPS:
	Helmet/Hat:  Spider Mask
	Arms:  Arms 8
	Legs:  Legs 5
	Torso:  Torso 7
	Upper Face Prop:  Dark Sunglasses
	Lower Face Prop:  Samurai Mask B
	Armor Pattern:  Plaid
	Weapon Pattern:  Plaid
	Face Paint:  None
	Left Arm Tattoo:  None
	Right Arm Tattoo:  None
	Tattoo Color:  94


APPEARANCE:
	Armor Style:  Anarchy
	Armor Color Scheme:  3 Colors - Secondary
	Face:  Face C
	Hair:  Spikes
	Facial Hair:  Sideburns and Goatee
	Eye Color:  3
	Race:  3 - Hispanic
	Main Armor Color:  1
	Secondary Armor Color:  90
	Weapon Color:  24
	Voice:  UK English 1
	Attitude:  Twitchy


Randomizing from fake eye colors


CHARACTER INFO:
	Name:  Marko Bandera
	Biography:  
		Marko Bandera was adopted by Igor and Solomiya (deceased) Hopko in Chyhyryn.
		As an adult, Marko was a Nurse.
		Marko was previously employed in an ADVENT processing facility.
		    Haunted by the thousands of souls that have disappeared into ADVENT facilities, he could no long stand to work for such a shady organization.
		    Taking what information he could, he joined a local resistance cell and eventually was recruited into XCOM.
	Nationality:  Ukraine
	Gender:  Male


PROPS:
	Helmet/Hat:  Knight Helm B
	Arms:  Arms 11
	Legs:  Legs 6
	Torso:  Torso 6
	Upper Face Prop:  Eyepatch
	Lower Face Prop:  Muton Mask
	Armor Pattern:  Hex
	Weapon Pattern:  Hex
	Face Paint:  Kabuki Paint
	Left Arm Tattoo:  None
	Right Arm Tattoo:  Ace in the Hole
	Tattoo Color:  94


APPEARANCE:
	Armor Style:  Anarchy
	Armor Color Scheme:  Goth
	Face:  Face B
	Hair:  Spikes
	Facial Hair:  None
	Eye Color:  4
	Race:  0 - Caucasian
	Main Armor Color:  94
	Secondary Armor Color:  68
	Weapon Color:  37
	Voice:  American English 4
	Attitude:  Hard Luck


