CHARACTER INFO:
	Name:  Janneke Jonkman
	Biography:  
		Janneke Jonkman was born to Fabian (deceased) and Linda Jonkman in Oldenzaal, Overijssel.
		Janneke grew up with two siblings.
		As an adult, Janneke was a Fire marshal.
		Janneke spent her younger years ferrying messages between remote resistance outposts.
		    This very important role eventually put her in contact with an XCOM team who, shortly after, recruited her.
	Nationality:  Netherlands
	Gender:  Female


PROPS:
	Helmet/Hat:  Skull Paint Hockey Mask
	Arms:  Arms 11
	Legs:  Legs 5
	Torso:  Torso 5
	Upper Face Prop:  Thick-rimmed Glasses
	Lower Face Prop:  Samurai Mask A
	Armor Pattern:  Digital
	Weapon Pattern:  Wild
	Face Paint:  Maori B
	Left Arm Tattoo:  Chryssalid Killer
	Right Arm Tattoo:  None
	Tattoo Color:  94


APPEARANCE:
	Armor Style:  Anarchy
	Armor Color Scheme:  Goth
	Face:  Face C
	Hair:  Long Curls
	Eye Color:  0
	Race:  0 - Caucasian
	Main Armor Color:  94
	Secondary Armor Color:  91
	Weapon Color:  36
	Voice:  UK English 1
	Attitude:  Laid Back


