CHARACTER INFO:
	Name:  Klara Axelsson
	Biography:  
		Klara Axelsson was born to Otto (deceased) and Ronja Axelsson in Lycksele.
		Klara grew up with two siblings.
		As an adult, Klara was a Entomologist.
		Wronfully jailed, Klara's imprisonment and interrogation ironically turned her into the thing the ADVENT was searching for.
	Nationality:  Sweden
	Gender:  Female


PROPS:
	Helmet/Hat:  Space Mask
	Arms:  Arms 11
	Legs:  Legs 7
	Torso:  Torso 6
	Upper Face Prop:  Aviators
	Lower Face Prop:  Samurai Mask B
	Armor Pattern:  Classic
	Weapon Pattern:  Classic
	Face Paint:  Faceless
	Left Arm Tattoo:  Death Sleeve
	Right Arm Tattoo:  Earth Sleeve
	Tattoo Color:  94


APPEARANCE:
	Armor Style:  Anarchy
	Armor Color Scheme:  Monochromatic - Secondary
	Face:  Face D
	Hair:  Top Braid
	Eye Color:  6
	Race:  0 - Caucasian
	Main Armor Color:  1
	Secondary Armor Color:  70
	Weapon Color:  79
	Voice:  American English 1
	Attitude:  Intense


