CHARACTER INFO:
	Name:  Ruth Burks
	Biography:  
		Ruth Burks was born to Noah and Stephanie (deceased) Burks in Price, Utah.
		Ruth grew up with two siblings.
		As an adult, Ruth was a Exotic dancer in Vandalia, Illinois.
		Ruth discovered a new weapon the ADVENT Administration has been researching and has brought it to the attention of local rebel forces.
		    Since her treachery has been discovered, she has had no choice but to join the resistance against these alien invaders.
	Nationality:  India
	Gender:  Female


PROPS:
	Helmet/Hat:  Voodoo Top Hat A
	Arms:  Arms 11
	Legs:  Legs 6
	Torso:  Torso 6
	Upper Face Prop:  Sports Sunglasses
	Lower Face Prop:  Skull Bandana
	Armor Pattern:  Blots
	Weapon Pattern:  Blots
	Face Paint:  None
	Left Arm Tattoo:  XCOM Sleeve
	Right Arm Tattoo:  None
	Tattoo Color:  94


APPEARANCE:
	Armor Style:  Anarchy
	Armor Color Scheme:  Monochromatic - Secondary
	Face:  Face B
	Hair:  Man Bun
	Eye Color:  18
	Race:  3 - Hispanic
	Main Armor Color:  1
	Secondary Armor Color:  70
	Weapon Color:  79
	Voice:  UK English 3
	Attitude:  Normal


